Nome Original,Nome Traduzido
"Mexican taco, hard shell, chicken, with cheese, salad & salsa","Taco mexicano, casca dura, frango, com queijo, salada e salsa  "
"Mexican taco, hard shell, chicken, with salad & salsa","Taco mexicano, casca dura, frango, com salada e salsa  "
"Mexican taco, hard shell, chicken & bean, with cheese, salad & salsa","Taco mexicano, casca dura, frango e feijão, com queijo, salada e salsa  "
"Mexican wrap, bean, with cheese, guacamole, salad & salsa","Wrap mexicano, feijão, com queijo, guacamole, salada e salsa"
"Mexican wrap, bean, with cheese & salsa","Wrap mexicano, feijão, com queijo e salsa  "
"Mexican wrap, bean, with cheese, salad & salsa","Wrap mexicano, feijão, com queijo, salada e salsa  "
"Mexican wrap, bean, with salad & salsa","Wrap mexicano, feijão, com salada e salsa  "
"Mexican wrap, beef & bean, with cheese, salad & salsa","Wrap mexicano, carne bovina e feijão, com queijo, salada e salsa  "
"Mexican wrap, beef, with cheese & salsa","Wrap mexicano, carne bovina, com queijo e salsa"
"Mexican wrap, beef, with cheese, salad & salsa","Wrap mexicano, carne, com queijo, salada e salsa  "
"Mexican wrap, beef, with cheese, guacamole & salsa","Wrap mexicano, carne, com queijo, guacamole e salsa  "
"Mexican wrap, beef, with cheese, guacamole, salad & salsa","Wrap mexicano, carne, com queijo, guacamole, salada e salsa  "
"Mexican wrap, beef, with salad & salsa","Wrap mexicano, carne, com salada e salsa  "
"Mexican wrap, beef & bean, with cheese & salsa","Wrap mexicano, carne e feijão, com queijo e salsa"
"Mexican wrap, beef & bean, with cheese, guacamole, salad & salsa","Wrap mexicano, carne e feijão, com queijo, guacamole, salada e salsa  "
"Mexican wrap, beef & bean, with salad & salsa","Wrap mexicano, carne e feijão, com salada e salsa  "
"Mexican wrap, with cheese & salsa","Wrap mexicano, com queijo e salsa  "
"Mexican wrap, chicken, with cheese & salsa","Wrap mexicano, frango, com queijo e salsa  "
"Mexican wrap, chicken, with cheese, salad & salsa","Wrap mexicano, frango, com queijo, salada e salsa"
"Mexican wrap, chicken, with cheese, guacamole & salsa","Wrap mexicano, frango, com queijo, guacamole e salsa  "
"Mexican wrap, chicken, with cheese, guacamole, salad & salsa","Wrap mexicano, frango, com queijo, guacamole, salada e salsa  "
"Mexican wrap, chicken, with salad & salsa","Wrap mexicano, frango, com salada e salsa  "
"Mexican wrap, chicken & bean, with cheese & salsa","Wrap mexicano, frango e feijão, com queijo e salsa  "
"Mexican wrap, chicken & bean, with cheese, salad & salsa","Wrap mexicano, frango e feijão, com queijo, salada e salsa"
"Mexican wrap, chicken & bean, with salad & salsa","Wrap mexicano, frango e feijão, com salada e salsa  "
"Mexican wrap, fish, with cheese, guacamole, salad & salsa","Wrap mexicano, peixe, com queijo, guacamole, salada e salsa  "
"Mexican wrap, with cheese, guacamole, salad & salsa","Wrap mexicano, com queijo, guacamole, salada e salsa  "
"Muffin, English style, with bacon, cheese & egg, fast food chain","Muffin, estilo inglês, com bacon, queijo e ovo, rede de fast food  "
"Muffin, English style, with bacon & beef sausage patty, fast food chain","Muffin, estilo inglês, com bacon e hambúrguer de carne bovina, rede de fast food"
"Muffin, English style, with beef sausage patty, cheese & egg, fast food chain","Muffin, estilo inglês, com hambúrguer de carne, queijo e ovo, rede de fast food  "
"Pizza, bacon & egg, thick base, BBQ sauce, fast food chain","Pizza, bacon e ovo, base grossa, molho BBQ, rede de fast food  "
"Pizza, bacon & egg, thin base, BBQ sauce, fast food chain","Pizza, bacon e ovo, base fina, molho BBQ, rede de fast food  "
"Pizza, cheese & pesto, purchased frozen, uncooked","Pizza, queijo e pesto, comprada congelada, crua  "
"Pizza, cheese & tomato, purchased frozen, baked","Pizza, queijo e tomate, comprada congelada, assada"
"Pizza, cheese & tomato, thick base, takeaway style or homemade","Pizza, queijo e tomate, massa grossa, estilo para viagem ou caseira  "
"Pizza, cheese & tomato, thin base, takeaway style","Pizza, queijo e tomate, massa fina, estilo para viagem  "
"Pizza, cheese & tomato, thick base, fast food chain","Pizza, queijo e tomate, massa grossa, rede de fast food  "
"Pizza, cheese & tomato, thin base, fast food chain","Pizza, queijo e tomate, massa fina, rede de fast food  "
"Pizza, cheese & tomato, flat bread base, homemade","Pizza, queijo e tomate, base de pão sírio, caseira"
"Pizza, chicken & bacon, BBQ sauce, purchased frozen, baked","Pizza, frango & bacon, molho BBQ, comprado congelado, assado  "
"Pizza, chicken & bacon, thick base, BBQ sauce, takeaway style or homemade","Pizza, frango & bacon, massa grossa, molho BBQ, estilo de entrega ou caseira  "
"Pizza, chicken & bacon, thin base, BBQ sauce, takeaway style","Pizza, frango & bacon, massa fina, molho BBQ, estilo de entrega  "
"Pizza, chicken & bacon, thick base, BBQ sauce, fast food chain","Pizza, frango & bacon, massa grossa, molho BBQ, rede de fast food  "
"Pizza, chicken & bacon, thin base, BBQ sauce, fast food chain","Pizza, frango & bacon, massa fina, molho BBQ, rede de fast food"
"Pizza, chicken & vegetable, thick base, takeaway style & homemade","Pizza, frango & vegetais, massa grossa, estilo para viagem & caseira  "
"Pizza, chicken & vegetable, thin base, takeaway style","Pizza, frango & vegetais, massa fina, estilo para viagem  "
"Pizza, chicken & vegetable, thin base, fast food chain","Pizza, frango & vegetais, massa fina, rede de fast food  "
"Pizza, chicken & vegetable, flat bread base, homemade","Pizza, frango & vegetais, base de pão sírio, caseira  "
"Pizza, ham & cheese, frozen, baked","Pizza, presunto & queijo, congelada, assada"
"Pizza, ham & cheese, thick base, takeaway style & homemade","Pizza, presunto e queijo, massa grossa, estilo para viagem e caseira  "
"Pizza, ham & cheese, thin base, takeaway style","Pizza, presunto e queijo, massa fina, estilo para viagem  "
"Pizza, ham & cheese, thin base, fast food chain","Pizza, presunto e queijo, massa fina, rede de fast food  "
"Pizza, ham & cheese, flat bread base, homemade","Pizza, presunto e queijo, base de pão sírio, caseira  "
"Pizza, ham & pineapple, purchased frozen, baked","Pizza, presunto e abacaxi, comprada congelada, assada"
"Pizza, ham & pineapple, thick base, takeaway style & homemade","Pizza, presunto e abacaxi, massa grossa, estilo para viagem e caseira  "
"Pizza, ham & pineapple, thin base, takeaway style","Pizza, presunto e abacaxi, massa fina, estilo para viagem  "
"Pizza, ham & pineapple, thick base, fast food chain","Pizza, presunto e abacaxi, massa grossa, rede de fast food  "
"Pizza, ham & pineapple, thin base, fast food chain","Pizza, presunto e abacaxi, massa fina, rede de fast food  "
"Pizza, lamb, thick base, takeaway style & homemade","Pizza, cordeiro, massa grossa, estilo para viagem e caseira"
"Pizza, meat lovers, BBQ sauce, purchased frozen, baked","Pizza, amantes da carne, molho barbecue, comprado congelado, assado  "
"Pizza, meat lovers, thick base, takeaway style & homemade","Pizza, amantes da carne, massa grossa, estilo para viagem e caseira  "
"Pizza, meat lovers, thin base, takeaway style","Pizza, amantes da carne, massa fina, estilo para viagem  "
"Pizza, meat lovers, thick base, BBQ sauce, fast food chain","Pizza, amantes da carne, massa grossa, molho barbecue, rede de fast food  "
"Pizza, meat lovers, thin base, fast food chain","Pizza, amantes da carne, massa fina, rede de fast food"
"Pizza, pepperoni, purchased frozen, baked","Pizza, pepperoni, comprada congelada, assada  "
"Pizza, pepperoni, thick base, takeaway style & homemade","Pizza, pepperoni, base grossa, estilo takeaway & caseira  "
"Pizza, pepperoni, thin base, takeaway style","Pizza, pepperoni, base fina, estilo takeaway  "
"Pizza, pepperoni, thick base, fast food chain","Pizza, pepperoni, base grossa, rede de fast food  "
"Pizza, pepperoni, thin base, fast food chain","Pizza, pepperoni, base fina, rede de fast food"
"Pizza, pepperoni, flat bread base, homemade","Pizza, pepperoni, base de pão achatado, caseira  "
"Pizza, prawn & vegetable, thick base, takeaway style & homemade","Pizza, camarão e vegetais, base grossa, estilo para viagem e caseira  "
"Pizza, prawn & vegetable, thin base, takeaway style","Pizza, camarão e vegetais, base fina, estilo para viagem  "
"Pizza, prosciutto, thick base, takeaway style & homemade","Pizza, presunto cru, base grossa, estilo para viagem e caseira  "
"Pizza, seafood, thin base, purchased frozen, baked","Pizza, frutos do mar, base fina, comprada congelada, assada"
"Pizza, seafood, thick base, takeaway style & homemade","Pizza, frutos do mar, massa grossa, estilo para viagem & caseira  "
"Pizza, seafood, thin base, takeaway style","Pizza, frutos do mar, massa fina, estilo para viagem  "
"Pizza, seafood, thick base, fast food chain","Pizza, frutos do mar, massa grossa, rede de fast food  "
"Pizza, seafood, thin base, fast food chain","Pizza, frutos do mar, massa fina, rede de fast food  "
"Pizza, supreme, purchased frozen, baked","Pizza, suprema, comprada congelada, assada"
"Pizza, supreme, thick base, takeaway style & homemade","Pizza, suprema, massa grossa, estilo para viagem & caseira  "
"Pizza, supreme, thin base, takeaway style","Pizza, suprema, massa fina, estilo para viagem  "
"Pizza, supreme, thick base, fast food chain","Pizza, suprema, massa grossa, rede de fast food  "
"Pizza, supreme, thin base, fast food chain","Pizza, suprema, massa fina, rede de fast food  "
"Pizza, supreme, stuffed crust, fast food chain","Pizza, suprema, borda recheada, rede de fast food"
"Pizza, supreme, flat bread base, homemade","Pizza, suprema, base de pão achatado, caseira  "
"Pizza, tomato sauce, thick base, takeaway style or homemade","Pizza, molho de tomate, base grossa, estilo para viagem ou caseira  "
"Pizza, vegetable, purchased frozen, baked","Pizza, vegetal, comprada congelada, assada  "
"Pizza, vegetable, thick base, takeaway style & homemade","Pizza, vegetal, base grossa, estilo para viagem e caseira  "
"Pizza, vegetable, thin base, takeaway style","Pizza, vegetal, base fina, estilo para viagem"
"Pizza, vegetable, thick base, fast food chain","Pizza, vegetal, massa grossa, rede de fast food  "
"Pizza, vegetable, thin base, fast food chain","Pizza, vegetal, massa fina, rede de fast food  "
"Pizza, vegetable, flat bread base, homemade","Pizza, vegetal, base de pão sírio, caseira  "
"Pizza, vegetable, gluten free base, takeaway style & homemade","Pizza, vegetal, base sem glúten, estilo para viagem & caseira  "
"Sandwich or roll, filled with canned spaghetti, toasted","Sanduíche ou pão, recheado com espaguete enlatado, tostado"
"Sandwich or roll, filled with cheese","Sanduíche ou pão, recheado com queijo  "
"Sandwich or roll, filled with cheese, toasted","Sanduíche ou pão, recheado com queijo, tostado  "
"Sandwich or roll, filled with chicken","Sanduíche ou pão, recheado com frango  "
"Sandwich or roll, filled with chicken & salad","Sanduíche ou pão, recheado com frango e salada  "
"Sandwich or roll, filled with egg","Sanduíche ou pão, recheado com ovo"
"Sandwich or roll, filled with ham","Sanduíche ou pão, recheado com presunto  "
"Sandwich or roll, filled with ham & cheese","Sanduíche ou pão, recheado com presunto e queijo  "
"Sandwich or roll, filled with ham & cheese, toasted","Sanduíche ou pão, recheado com presunto e queijo, tostado  "
"Sandwich or roll, filled with ham & salad","Sanduíche ou pão, recheado com presunto e salada  "
"Sandwich or roll, filled with ham & tomato, toasted","Sanduíche ou pão, recheado com presunto e tomate, tostado"
"Sandwich or roll, filled with peanut butter","Sanduíche ou pão, recheado com manteiga de amendoim  "
"Sandwich or roll, filled with roast beef or lamb","Sanduíche ou pão, recheado com carne assada ou cordeiro  "
"Sandwich or roll, filled with roast beef or lamb & salad","Sanduíche ou pão, recheado com carne assada ou cordeiro & salada  "
"Sandwich or roll, filled with salad","Sanduíche ou pão, recheado com salada  "
"Sandwich or roll, filled with tuna","Sanduíche ou pão, recheado com atum"
"Sandwich or roll, filled with tuna & salad","Sanduíche ou pão, recheado com atum e salada  "
"Sandwich or roll, filled with vegemite","Sanduíche ou pão, recheado com vegemite  "
"Sandwich or roll, filled with vegemite & cheese","Sanduíche ou pão, recheado com vegemite e queijo  "
"Sandwich or roll, not further defined","Sanduíche ou pão, não definido  "
"Sandwich or roll, not further defined, toasted","Sanduíche ou pão, não definido, tostado"
"Wrap, filled, not further defined","Wrap, recheado, não definido  "
"Steak sandwich, bread roll, beef steak, takeaway & homemade","Sanduíche de bife, pão, bife de carne, para viagem e caseiro  "
"Steak sandwich, bread roll, beef steak, with cheese, takeaway & homemade","Sanduíche de bife, pão, bife de carne, com queijo, para viagem e caseiro  "
"Steak sandwich, bread roll, beef steak, with cheese & salad, takeaway & homemade","Sanduíche de bife, pão, bife de carne, com queijo e salada, para viagem e caseiro  "
"Steak sandwich, bread roll, beef steak, with salad, takeaway & homemade","Sanduíche de bife, pão, bife de carne, com salada, para viagem e caseiro"
"Vegetable burger, bread roll, vegetable patty, with cheese, lettuce, onion, sauce & mayonnaise, fast food chain",hambúrguer vegetal  
"Vegetable or lentil burger, bread roll, vegetable patty, takeaway & homemade",pão de hambúrguer  
"Vegetable or lentil burger, bread roll, vegetable patty, with cheese, takeaway & homemade",disco vegetal  
"Vegetable or lentil burger, bread roll, vegetable patty, with cheese & salad, takeaway & homemade",com queijo  
"Vegetable or lentil burger, bread roll, vegetable patty, with salad, takeaway & homemade",alface  
"Noodle, buckwheat or soba, dry","Massa, trigo sarraceno ou soba, seca  "
"Noodle, buckwheat or soba, boiled, drained","Massa, trigo sarraceno ou soba, cozida, escorrida  "
"Noodle, wheat, Asian style, cooked","Massa, trigo, estilo asiático, cozida  "
"Noodle, wheat with egg, plain, dry","Massa, trigo com ovo, simples, seca  "
"Noodle, wheat with egg, plain, boiled, no added fat","Massa, trigo com ovo, simples, cozida, sem gordura adicionada"
"Noodle, wheat, instant, flavoured, dry, uncooked","Miojo, trigo, instantâneo, saborizado, seco, cru  "
"Noodle, wheat, instant, flavoured, boiled, drained","Miojo, trigo, instantâneo, saborizado, cozido, escorrido  "
"Noodle, wheat, instant, flavoured, boiled, undrained","Miojo, trigo, instantâneo, saborizado, cozido, não escorrido  "
"Noodle, wheat, instant, unflavoured, dry, uncooked","Miojo, trigo, instantâneo, sem sabor, seco, cru  "
"Noodle, wheat, instant, unflavoured, boiled, drained","Miojo, trigo, instantâneo, sem sabor, cozido, escorrido"
"Noodle, wheat, instant, unflavoured, boiled, undrained","Miojo, trigo, instantâneo, sem sabor, cozido, sem escorrer  "
"Noodle, wheat, instant, flavoured, fried or stir-fried, with or without fat","Miojo, trigo, instantâneo, com sabor, frito ou refogado, com ou sem gordura  "
"Noodle, wheat, instant, low fat, flavoured, boiled, drained","Miojo, trigo, instantâneo, baixo teor de gordura, com sabor, cozido, escorrido  "
"Noodle, wheat, instant, low fat, flavoured, boiled, undrained","Miojo, trigo, instantâneo, baixo teor de gordura, com sabor, cozido, sem escorrer  "
"Noodle, wheat, instant, low fat, unflavoured, boiled, drained","Miojo, trigo, instantâneo, baixo teor de gordura, sem sabor, cozido, escorrido"
"Noodle, wheat, instant, low fat, unflavoured, boiled, undrained","Miojo, trigo, instantâneo, baixo teor de gordura, sem sabor, cozido, sem escorrer  "
"Noodle, wheat, instant, not further defined","Miojo, trigo, instantâneo, não definido  "
"Noodle, rice stick, boiled, drained","Miojo, macarrão de arroz, cozido, escorrido  "
"Noodle, cooked, not further defined","Miojo, cozido, não definido  "
"Noodles & pasta, boiled, for use in mixed dishes","Miojos e massas, cozidos, para uso em pratos mistos"
"Pasta, gluten free, plain, boiled from dry, no added salt","Massa, sem glúten, simples, cozida a partir de seca, sem sal adicionado  "
"Pasta, gluten free, plain, boiled from dry, with added salt","Massa, sem glúten, simples, cozida a partir de seca, com sal adicionado  "
"Pasta, white wheat flour, plain, dry","Massa, farinha de trigo branca, simples, seca  "
"Pasta, white wheat flour, plain, boiled from dry, no added salt","Massa, farinha de trigo branca, simples, cozida a partir de seca, sem sal adicionado  "
"Pasta, white wheat flour, plain, boiled from dry, with added salt","Massa, farinha de trigo branca, simples, cozida a partir de seca, com sal adicionado"
"Pasta, white wheat flour, plain, fresh, uncooked","Massa, farinha de trigo branca, simples, fresca, crua  "
"Pasta, white wheat flour, plain, fresh, boiled, no added salt","Massa, farinha de trigo branca, simples, fresca, cozida, sem sal adicionado  "
"Pasta, white wheat flour, plain, homemade, boiled, no added salt","Massa, farinha de trigo branca, simples, caseira, cozida, sem sal adicionado  "
"Pasta, white wheat flour, plain, homemade, boiled, with added salt","Massa, farinha de trigo branca, simples, caseira, cozida, com sal adicionado  "
"Pasta, white wheat flour & egg, plain, dry","Massa, farinha de trigo branca e ovo, simples, seca"
"Pasta, white wheat flour & egg, plain, boiled, no added salt","Massa, farinha de trigo branco e ovo, simples, cozida, sem sal adicionado  "
"Pasta, white wheat flour & egg, plain, boiled, with added salt","Massa, farinha de trigo branco e ovo, simples, cozida, com sal adicionado  "
"Pasta, maize flour (corn) based, plain, dry","Massa, à base de farinha de milho, simples, seca  "
"Pasta, maize flour (corn) based, plain, cooked","Massa, à base de farinha de milho, simples, cozida  "
"Pasta, white wheat flour & spinach, plain, dry","Massa, farinha de trigo branco e espinafre, simples, seca"
"Pasta, white wheat flour & spinach, plain, boiled, no added salt","Massa, farinha de trigo branca e espinafre, simples, cozida, sem sal adicionado  "
"Pasta, white wheat flour & spinach, plain, boiled, with added salt","Massa, farinha de trigo branca e espinafre, simples, cozida, com sal adicionado  "
"Pasta, wholemeal wheat flour, plain, dry","Massa, farinha de trigo integral, simples, seca  "
"Pasta, wholemeal wheat flour, plain, boiled from dry, no added salt","Massa, farinha de trigo integral, simples, cozida a partir de seca, sem sal adicionado  "
"Pasta, wholemeal wheat flour, plain, boiled from dry, with added salt","Massa, farinha de trigo integral, simples, cozida a partir de seca, com sal adicionado"
"Pasta, filled with meat, fresh, commercial, boiled, without added sauce","Massa, recheada com carne, fresca, comercial, cozida, sem molho adicionado  "
"Pasta, filled with spinach & ricotta, fresh, commercial, boiled, without added sauce","Massa, recheada com espinafre e ricota, fresca, comercial, cozida, sem molho adicionado  "
"Pasta, filled with spinach & ricotta, fresh, homemade, boiled, without added sauce","Massa, recheada com espinafre e ricota, fresca, caseira, cozida, sem molho adicionado  "
"Pasta, filled with vegetables, fresh, commercial, boiled, without added sauce","Massa, recheada com vegetais, fresca, comercial, cozida, sem molho adicionado  "
"Pasta, unfilled, for commercial pasta recipes","Massa, sem recheio, para receitas comerciais de massa"
"Pasta, unfilled, for homemade pasta recipes","Massa, sem recheio, para receitas de massa caseira  "
"Cannelloni, homemade, filled with spinach & ricotta, with commercial based tomato sauce","Cannelloni, caseiro, recheado com espinafre e ricota, com molho de tomate comercial  "
"Cannelloni, homemade, filled with spinach & ricotta, with homemade tomato based sauce","Cannelloni, caseiro, recheado com espinafre e ricota, com molho de tomate caseiro  "
"Cannelloni, homemade, filled with spinach & ricotta, with homemade tomato based sauce, added meat","Cannelloni, caseiro, recheado com espinafre e ricota, com molho de tomate caseiro, adicionado carne  "
"Gnocchi, homemade, potato gnocchi, commercial beef bolognese sauce","Gnocchi, caseiro, gnocchi de batata, molho bolonhesa de carne comercial"
"Gnocchi, homemade, potato gnocchi, commercial dairy based sauce","Nhoque, caseiro, nhoque de batata, molho à base de laticínios comercial  "
"Gnocchi, homemade, potato gnocchi, homemade beef bolognese sauce","Nhoque, caseiro, nhoque de batata, molho bolonhesa de carne caseiro  "
"Gnocchi, commercial or homemade, potato gnocchi, tomato based sauce","Nhoque, comercial ou caseiro, nhoque de batata, molho à base de tomate  "
"Lasagne (Lasagna), beef, no added vegetables, homemade","Lasanha, carne, sem vegetais adicionados, caseira  "
"Lasagne (Lasagna), beef, with added vegetables, homemade","Lasanha, carne, com vegetais adicionados, caseira"
"Lasagne (Lasagna), beef, commercial, purchased fresh or frozen, cooked","Lasanha, carne bovina, comercial, comprada fresca ou congelada, cozida  "
"Lasagne (Lasagna), chicken, with added vegetables, cheese, homemade","Lasanha, frango, com vegetais adicionados, queijo, caseira  "
"Lasagne (Lasagna), kangaroo, with added vegetables, homemade","Lasanha, canguru, com vegetais adicionados, caseira  "
"Lasagne (Lasagna), vegetable, homemade","Lasanha, vegetal, caseira  "
"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce","Macarrão com queijo, caseiro, massa cozida sem recheio, molho de queijo caseiro"
"Pasta dish, commercial, cooked unfilled pasta, beef bolognese sauce","Prato de massa, comercial, massa cozida sem recheio, molho à bolonhesa de carne  "
"Pasta dish, commercial, cooked unfilled pasta, beef bolognese sauce & added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à bolonhesa de carne & vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial beef bolognese sauce","Prato de massa, caseiro, massa cozida sem recheio, molho à bolonhesa de carne comercial  "
"Pasta dish, homemade, cooked unfilled pasta, commercial beef bolognese sauce & added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à bolonhesa de carne comercial & vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade beef bolognese sauce","Prato de massa, caseiro, massa cozida sem recheio, molho à bolonhesa de carne caseiro"
"Pasta dish, homemade, cooked unfilled pasta, homemade beef bolognese sauce & added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho bolognesa de carne caseiro e vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, carbonara sauce, added bacon, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho carbonara, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, carbonara sauce, added chicken, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho carbonara, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade carbonara sauce, added bacon, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho carbonara caseiro, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, dairy based sauce","Prato de massa, comercial, massa cozida sem recheio, molho à base de laticínios"
"Pasta dish, commercial, cooked unfilled pasta, dairy based sauce, added bacon, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de laticínios, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, dairy based sauce, added chicken, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de laticínios, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, dairy based sauce, added seafood, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de laticínios, frutos do mar adicionados, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, dairy based sauce, added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de laticínios, vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial dairy based sauce","Prato de massa, caseiro, massa cozida sem recheio, molho à base de laticínios comercial"
"Pasta dish, homemade, cooked unfilled pasta, commercial dairy based sauce, added bacon, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho comercial à base de laticínios, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial dairy based sauce, added chicken, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho comercial à base de laticínios, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial dairy based sauce, added meat, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho comercial à base de laticínios, carne adicionada, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial dairy based sauce, added seafood, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho comercial à base de laticínios, frutos do mar adicionados, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial dairy based sauce, added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho comercial à base de laticínios, vegetais adicionados"
"Pasta dish, homemade, cooked unfilled pasta, homemade dairy based sauce","Prato de massa, caseiro, massa cozida sem recheio, molho caseiro à base de laticínios  "
"Pasta dish, homemade, cooked unfilled pasta, homemade dairy based sauce, added bacon, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho caseiro à base de laticínios, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade dairy based sauce, added chicken, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho caseiro à base de laticínios, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade dairy based sauce, added meat, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho caseiro à base de laticínios, carne adicionada, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade dairy based sauce, added seafood, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho caseiro à base de laticínios, frutos do mar adicionados, com ou sem vegetais adicionados"
"Pasta dish, homemade, cooked unfilled pasta, homemade dairy based sauce, added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de laticínios caseiro, vegetais adicionados  "
"Pasta dish, cooked unfilled pasta, oil based sauce","Prato de massa, massa cozida sem recheio, molho à base de óleo  "
"Pasta dish, cooked unfilled pasta, oil based sauce, added bacon, with or without added vegetables","Prato de massa, massa cozida sem recheio, molho à base de óleo, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, cooked unfilled pasta, oil based sauce, added chicken, with or without added vegetables","Prato de massa, massa cozida sem recheio, molho à base de óleo, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, cooked unfilled pasta, oil based sauce, added seafood, with or without added vegetables","Prato de massa, massa cozida sem recheio, molho à base de óleo, frutos do mar adicionados, com ou sem vegetais adicionados"
"Pasta dish, cooked unfilled pasta, oil based sauce, added vegetables","Prato de massa, massa cozida sem recheio, molho à base de óleo, vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, tomato based sauce","Prato de massa, comercial, massa cozida sem recheio, molho à base de tomate  "
"Pasta dish, commercial, cooked unfilled pasta, tomato based sauce, added bacon, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de tomate, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, tomato based sauce, added chicken, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de tomate, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, commercial, cooked unfilled pasta, tomato based sauce, added seafood, with or without added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de tomate, frutos do mar adicionados, com ou sem vegetais adicionados"
"Pasta dish, commercial, cooked unfilled pasta, tomato based sauce, added vegetables","Prato de massa, comercial, massa cozida sem recheio, molho à base de tomate, vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial tomato based sauce","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate comercial  "
"Pasta dish, homemade, cooked unfilled pasta, commercial tomato based sauce, added bacon, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate comercial, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial tomato based sauce, added chicken, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate comercial, frango adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, commercial tomato based sauce, added seafood, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate comercial, frutos do mar adicionados, com ou sem vegetais adicionados"
"Pasta dish, homemade, cooked unfilled pasta, commercial tomato based sauce, added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate comercial, vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade tomato based sauce","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate caseiro  "
"Pasta dish, homemade, cooked unfilled pasta, homemade tomato based sauce, added bacon, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate caseiro, bacon adicionado, com ou sem vegetais adicionados  "
"Pasta dish, homemade, cooked unfilled pasta, homemade tomato based sauce, added chicken, with or without added vegetables","Prato de massa, caseiro, massa cozida sem recheio, molho à base de tomate caseiro, frango adicionado, com ou sem vegetais adicionados  "
